"Entry","Expt","MacroEnv","DTF","Predicted_DTF"
59,"Ne16","Macroenvironment 2",86.6666666666667,67.1436896305741
59,"It16","Macroenvironment 3",112,112.289018113525
60,"Su16","Macroenvironment 1",48,46.7463487233435
60,"Ne16","Macroenvironment 2",123.666666666667,89.3169898280394
60,"It16","Macroenvironment 3",144.666666666667,145.628069171587
61,"Su16","Macroenvironment 1",45.6666666666667,45.5849734482438
61,"Ne16","Macroenvironment 2",103.5,83.7990799169409
61,"It16","Macroenvironment 3",134.333333333333,139.840404905269
62,"Su16","Macroenvironment 1",49,49.0579555377034
62,"Ne16","Macroenvironment 2",132,101.552567938319
62,"It16","Macroenvironment 3",141.333333333333,144.16974729937
63,"Su16","Macroenvironment 1",47.6666666666667,46.0030096121911
63,"Ne16","Macroenvironment 2",99.6666666666667,84.6729959242092
63,"It16","Macroenvironment 3",120.666666666667,121.567573752625
64,"Su16","Macroenvironment 1",46.3333333333333,45.0989168349476
64,"Ne16","Macroenvironment 2",125.5,93.8646198797895
64,"It16","Macroenvironment 3",133.666666666667,135.964439883273
65,"Su16","Macroenvironment 1",49.3333333333333,46.1800409326884
65,"Ne16","Macroenvironment 2",125,99.9413858110895
65,"It16","Macroenvironment 3",129.333333333333,132.302705569412
66,"Su16","Macroenvironment 1",50,48.9628614310982
66,"Ne16","Macroenvironment 2",119.666666666667,77.5214350031376
66,"It16","Macroenvironment 3",131,142.691074237812
67,"Su16","Macroenvironment 1",46.6666666666667,44.8079189885018
67,"Ne16","Macroenvironment 2",95.3333333333333,75.8513997985171
67,"It16","Macroenvironment 3",113.666666666667,112.927666896766
68,"Su16","Macroenvironment 1",45.3333333333333,44.455402884117
68,"Ne16","Macroenvironment 2",106.666666666667,86.5948425427871
68,"It16","Macroenvironment 3",120.666666666667,124.566104779895
69,"Su16","Macroenvironment 1",49.6666666666667,46.9211414910028
69,"Ne16","Macroenvironment 2",124,97.0952639362898
69,"It16","Macroenvironment 3",127.666666666667,130.284674583917
70,"Su16","Macroenvironment 1",46,44.3337518701415
70,"Ne16","Macroenvironment 2",96.6666666666667,81.0570867693512
70,"It16","Macroenvironment 3",119.333333333333,116.524849033502
71,"Su16","Macroenvironment 1",48.3333333333333,46.6979825181333
71,"Ne16","Macroenvironment 2",124.5,96.9990006389073
71,"It16","Macroenvironment 3",134,137.022958768471
72,"Su16","Macroenvironment 1",45,44.981606763107
72,"Ne16","Macroenvironment 2",95.3333333333333,78.0266873500976
72,"It16","Macroenvironment 3",121,115.982771051194
73,"Su16","Macroenvironment 1",47,45.8677411237858
